Title,Year,Description,Court/Act,Keyword
"Ronald Wood Mathams vs State Of West Bengal(With ... on 22 April, 1954",1954,"charges of conspiracy to cheat the Government and of bribery. The facts, so far as they are material ... accordingly charged with conspiracy to cheat the Government and bribery. The appellants denied the conspiracy. They stated that the roads",Supreme Court of India,bribery
"Section 123 in The Representation of the People Act, 1951
          
  

  
     [Complete Act]","1951
          
  

  
     [Complete Act]",practices for the purposes of this Act  Bribery  that is to say  any gift offer or promise,Central Government Act,bribery
